OG	Tcas	Dmel
EIKQ5	TC005521,TC011654	FBgn0038237,FBgn0085370
EIKQ7	TC004499	FBgn0260964
EIKQ8	TC014207	FBgn0004380
EIKQA	TC000945	FBgn0270928
EIKQD	TC003335	FBgn0035590
EIKQE	TC010401	FBgn0030305
EIKQG	TC012585	FBgn0039561
EIKQJ	TC005972	FBgn0001301
EIKQK	TC015127	FBgn0037324
EIKQM	TC016306	FBgn0000100
EIKQN	TC000373	FBgn0033816
EIKQQ	TC001245,TC009772	FBgn0025595
EIKR2	TC007438	FBgn0029858
EIKRI	TC000748	FBgn0024250
EIKRQ	TC000779	FBgn0030658
EIKRR	TC008856	FBgn0264753
EIKRS	TC015492	FBgn0000658
EIKRT	TC009740	FBgn0013762
EIKRU	TC002221	FBgn0031782
EIKRV	TC000124	FBgn0036571
EIKRX	TC001718	FBgn0034716,FBgn0050277,FBgn0034715
EIKRY	TC014309	FBgn0032846
EIKS2	TC009979	FBgn0266711
EIKS3	TC010508	FBgn0030695
EIKS6	TC030563	FBgn0031494
EIKS7	TC014000	FBgn0261722
EIKSA	TC011316	FBgn0026666
EIKSC	TC007987	FBgn0031601
EIKSG	TC008460	FBgn0031428
EIKSH	TC030675	FBgn0039111
EIKSJ	TC016258	FBgn0036889
EIKSK	TC013469	FBgn0260470
EIKSN	TC031280	FBgn0037731,FBgn0052939
EIKSP	TC012362	FBgn0030844
EIKSQ	TC013178	FBgn0036340
EIKSS	TC012669	FBgn0286567
EIKST	TC009729	FBgn0033226
EIKSU	TC014492	FBgn0261535
EIKSX	TC013357	FBgn0285910,FBgn0039058
EIKSZ	TC010334	FBgn0031764
EIKT3	TC030750	FBgn0034269
EIKT8	TC008357,TC008358,TC008359	FBgn0032381,FBgn0002569,FBgn0033294,FBgn0050359,FBgn0033297,FBgn0002570,FBgn0033296,FBgn0050360,FBgn0032382
EIKTK	TC005012	FBgn0000274,FBgn0039796,FBgn0000273
EIKTP	TC034367	FBgn0038881
EIKTU	TC001144	FBgn0035272
EIKU1	TC030611	FBgn0034262
EIKU2	TC031791	FBgn0038582
EIKUK	TC034867	FBgn0037023,FBgn0287828
EIKUM	TC004721	FBgn0005666
EIKUZ	TC000047	FBgn0267976
EIKV2	TC012612	FBgn0033087
EIKV4	TC001442	FBgn0011236
EIKV5	TC010652	FBgn0262115
EIKV6	TC001071	FBgn0040308
EIKVM	TC003464	FBgn0035733
EIKVP	TC015693	FBgn0026144
EIKVW	TC001003	FBgn0037802
EIKVZ	TC001452	FBgn0030877
EIKW2	TC007093	FBgn0030435
EIKW4	TC016289	FBgn0015331
EIKW5	TC004387	FBgn0038965
EIKWH	TC015359	FBgn0011754
EIKWR	TC009608	FBgn0005649
EIKX1	TC003775	FBgn0027950
EIKX2	TC032172	FBgn0039055
EIKX6	TC031386	FBgn0004396
EIKXB	TC030641	FBgn0039908
EIKXC	TC011038	FBgn0023542
EIKXX	TC007443	FBgn0031094
EIKXZ	TC013327	FBgn0261602
EIKY1	TC031520	FBgn0028703
EIKYG	TC013861	FBgn0260960
EIKYP	TC015234	FBgn0259233
EIKYR	TC031825,TC006388	FBgn0027538
EIKYS	TC007563	FBgn0051721
EIKYT	TC014084,TC009318	FBgn0284084,FBgn0010194
EIKYU	TC003901,TC010668	FBgn0040384
EIKYV	TC004356	FBgn0040068
EIKYW	TC011007	FBgn0037989
EIKZ0	TC010855,TC011981	FBgn0029994,FBgn0032405
EIKZ4	TC033721,TC001746	FBgn0035390,FBgn0052056
EIKZ5	TC014998	FBgn0000064,FBgn0039425
EIKZ6	TC012524	FBgn0263916
EIKZ7	TC011095	FBgn0051158
EIM02	TC015614	FBgn0032945
EIM0P	TC014408	FBgn0036145
EIM11	TC010795	FBgn0040660
EIM12	TC013922	FBgn0261268
EIM14	TC015322	FBgn0036568,FBgn0010217
EIM15	TC008059	FBgn0035852,FBgn0002174
EIM17	TC032255	FBgn0030178
EIM19	TC000578	FBgn0034657
EIM1A	TC001085	FBgn0037341
EIM1D	TC016350	FBgn0038783
EIM1K	TC010767	FBgn0038693
EIM1N	TC034516	FBgn0033313
EIM25	TC006678	FBgn0030851
EIM26	TC004796	FBgn0028496
EIM2B	TC033194	FBgn0000964
EIM2D	TC006301,TC000020	FBgn0003278
EIM2E	TC007110	FBgn0031016
EIM2F	TC003397	FBgn0003218
EIM3R	TC013923	FBgn0021856
EIM3W	TC004819	FBgn0032513
EIM42	TC013365	FBgn0010638
EIM48	TC015327	FBgn0021767
EIM4C	TC033677	FBgn0038309
EIM4G	TC031333	FBgn0085431
EIM4J	TC031689,TC031628,TC031341,TC031342,TC032717,TC032889,TC007433,TC007090,TC007784	FBgn0031034,FBgn0031033,FBgn0039091,FBgn0039093,FBgn0259229,FBgn0039092,FBgn0031032,FBgn0038873,FBgn0033792,FBgn0030148
EIM4K	TC012601	FBgn0033540
EIM4M	TC032736	FBgn0023537
EIM8U	TC004292	FBgn0000617
EIM8V	TC010635	FBgn0032781
EIM95	TC000552	FBgn0039198
EIM9J	TC031183	FBgn0287788
EIM9N	TC030556	FBgn0044030
EIM9R	TC009968	FBgn0032487
EIM9W	TC031930	FBgn0034885
EIMAN	TC015747	FBgn0261261
EIMAP	TC009328	FBgn0034577
EIMAS	TC031483	FBgn0031824
EIMAT	TC006616,TC011626	FBgn0029133
EIMAW	TC000476	FBgn0015222
EIMAZ	TC011526	FBgn0052451
EIMBH	TC003372	FBgn0035675
EIMBK	TC003248	FBgn0051717
EIMBR	TC013308	FBgn0036763
EIMBV	TC031068	FBgn0016756
EIMC6	TC033258,TC000565,TC014700,TC014701,TC009012	FBgn0027570
EIMC8	TC008177	FBgn0262782
EIMCB	TC034198,TC006805	FBgn0050106,FBgn0033058
EIMCM	TC014621	FBgn0032666
EIMCP	TC032331	FBgn0004852
EIMCQ	TC002935	FBgn0037882
EIMCR	TC004714	FBgn0004957
EIMCS	TC011184	FBgn0037638
EIMCU	TC010109,TC008714,TC010110,TC010117,TC016303	FBgn0034943,FBgn0033079
EIMCV	TC000361	FBgn0025360
EIMDX	TC005961	FBgn0263355
EIMDY	TC008784	FBgn0000559
EIME0	TC002174	FBgn0030518
EIME2	TC009472	FBgn0026079
EIME5	TC007006	FBgn0086130
EIME6	TC007331	FBgn0037721
EIMEA	TC031046	FBgn0289650,FBgn0014141
EIMEC	TC034776	FBgn0038366
EIMEE	TC010871	FBgn0053096
EIMEG	TC007306	FBgn0031940,FBgn0085234
EIMEH	TC032339	FBgn0261612
EIMEJ	TC012278	FBgn0005585
EIMEK	TC015931	FBgn0035060
EIMEM	TC034308	FBgn0262867
EIMEN	TC007191	FBgn0029820
EIMER	TC014564	FBgn0014455
EIMEZ	TC033928	FBgn0026432
EIMF2	TC002963	FBgn0262716
EIMF4	TC006495	FBgn0020930
EIMF5	TC003977	FBgn0035916
EIMFW	TC015301	FBgn0004179
EIMFZ	TC003094	FBgn0000629
EIMG7	TC001725,TC012008	FBgn0024921,FBgn0035693
EIMGA	TC007264	FBgn0021742
EIMGH	TC002636,TC006274	FBgn0017590
EIMGJ	TC007364	FBgn0004867
EIMGK	TC007591,TC007590	FBgn0266098
EIMIS	TC000192	FBgn0030354
EIMJE	TC011694,TC012094	FBgn0024980,FBgn0013343
EIMK6	TC004792	FBgn0267390
EIMKZ	TC032076,TC032079,TC000855	FBgn0001624
EIMMD	TC003026,TC005479	FBgn0050463
EIMME	TC015209	FBgn0034025
EIMMF	TC004380,TC006530,TC004884	FBgn0031462,FBgn0037115,FBgn0267385,FBgn0038952,FBgn0038258
EIMN8	TC010408	FBgn0260794
EIMNJ	TC006290	FBgn0024754
EIMNK	TC012903	FBgn0260745
EIMNM	TC004440	FBgn0033194
EIMNQ	TC009183	FBgn0011336
EIMNS	TC005459	FBgn0026189,FBgn0266436,FBgn0266437
EIMNT	TC031212	FBgn0283651
EIMNU	TC030783	FBgn0250753
EIMP0	TC002125	FBgn0036058
EIMP2	TC000824	FBgn0025615
EIMPS	TC034253,TC016333	FBgn0032612
EIMPV	TC013543	FBgn0039877
EIMPW	TC007913	FBgn0035710
EIMPX	TC015509	FBgn0034304
EIMQI	TC034816,TC007508	FBgn0050381,FBgn0027081
EIMR5	TC010530	FBgn0031776
EIMRA	TC033650	FBgn0029147
EIMRB	TC030553	FBgn0003267
EIMRC	TC014428	FBgn0036811
EIMRD	TC031865	FBgn0034528
EIMRE	TC007882	FBgn0031627,FBgn0053543
EIMRU	TC010801,TC005485,TC010960	FBgn0013811
EIMRX	TC005784	FBgn0004893
EIMRY	TC005788	FBgn0004892
EIMS0	TC001027	FBgn0264294
EIMS4	TC010011	FBgn0039141
EIMS6	TC014728,TC010074	FBgn0263780,FBgn0031835
EIMSC	TC012567,TC030580	FBgn0050446
EIMSD	TC003020	FBgn0028969
EIMSG	TC005597	FBgn0283658
EIMSV	TC013858	FBgn0026679
EIMSW	TC032821	FBgn0052529
EIMSX	TC004723	FBgn0025678
EIMTI	TC001433	FBgn0039187
EIMTM	TC012425	FBgn0035473
EIMTY	TC033403	FBgn0053198
EIMUH	TC001561	FBgn0035960
EIMUJ	TC013650	FBgn0036742
EIMUS	TC002906	FBgn0052082
EIMUV	TC007558	FBgn0026400
EIMUW	TC013249	FBgn0037610
EIMUX	TC009598	FBgn0035147
EIMUZ	TC033871	FBgn0034569
EIMV0	TC015604	FBgn0034210
EIMV1	TC000051	FBgn0036194
EIMV3	TC003818	FBgn0015949
EIMV4	TC032882,TC008270	FBgn0010315
EIMV8	TC007717	FBgn0259168
EIMVD	TC013192	FBgn0036460
EIMVE	TC000088	FBgn0023076
EIMVF	TC013489	FBgn0038515
EIMVH	TC001227	FBgn0030742
EIMWE	TC030678	FBgn0263757
EIMWJ	TC006381	FBgn0038958
EIMWU	TC007802	FBgn0031100
EIMWZ	TC007151	FBgn0033191
EIMX1	TC002332	FBgn0033994
EIMX3	TC000075	FBgn0015391
EIMXC	TC005530	FBgn0036574
EIMXF	TC012816	FBgn0261976
EIMYP	TC013582	FBgn0032228
EIMYQ	TC011830	FBgn0030504
EIMYW	TC003323	FBgn0250814
EIMYY	TC003247	FBgn0017430
EIMZ0	TC007247	FBgn0002939
EIMZ4	TC032760	FBgn0001075
EIMZ5	TC010208	FBgn0028704
EIMZ6	TC034166	FBgn0003415
EIMZA	TC001693	FBgn0000459,FBgn0285879
EIMZC	TC010842	FBgn0051516,FBgn0039718
EIMZD	TC008992	FBgn0260444
EIMZG	TC032912	FBgn0037470
EIMZM	TC002855	FBgn0003435
EIN0Y	TC034739,TC034740	FBgn0087002
EIN16	TC012363	FBgn0034822,FBgn0030616
EIN1K	TC030317	FBgn0037594
EIN1M	TC009195	FBgn0053193
EIN1Q	TC011434	FBgn0051323
EIN1R	TC011140	FBgn0031097
EIN1V	TC034159	FBgn0086690
EIN2T	TC009157	FBgn0034072
EIN2Y	TC015217,TC001330	FBgn0039331,FBgn0039909
EIN3H	TC009236	FBgn0261086
EIN3K	TC014258	FBgn0037466
EIN3P	TC005399	FBgn0030870
EIN3Q	TC033830	FBgn0032753
EIN3R	TC011528	FBgn0037186
EIN3W	TC031435,TC031436	FBgn0039530
EIN48	TC002608	FBgn0027287
EIN4B	TC031754	FBgn0035720,FBgn0003261,FBgn0029880
EIN59	TC033681	FBgn0033277,FBgn0050371,FBgn0050375
EIN5N	TC008948,TC012533	FBgn0261436,FBgn0039048
EIN6I	TC032283	FBgn0041622
EIN6T	TC010445	FBgn0264502
EIN6Z	TC011075	FBgn0030357
EIN7B	TC003336	FBgn0035587
EIN7C	TC015264	FBgn0036856
EIN7H	TC001370	FBgn0086712
EIN82	TC006114	FBgn0037780
EIN83	TC031955	FBgn0038569
EIN84	TC016394	FBgn0004880
EIN85	TC003518	FBgn0036369
EIN86	TC010155	FBgn0004360
EIN88	TC006390	FBgn0033454
EIN8A	TC033105	FBgn0259735
EIN9C	TC031026	FBgn0033208
EIN9N	TC012832	FBgn0061515
EIN9R	TC012507	FBgn0034091
EIN9T	TC014289	FBgn0037874
EINA2	TC007598	FBgn0288888
EINA7	TC008848	FBgn0027525
EINAP	TC008849	FBgn0260866
EINAR	TC033066,TC001209	FBgn0032820
EINAS	TC013016	FBgn0264561
EINAT	TC014336	FBgn0032818
EINAU	TC015324	FBgn0030065
EINAW	TC012993	FBgn0038564
EINAX	TC033614	FBgn0034035
EINBB	TC008321	FBgn0259150
EINBJ	TC009808	FBgn0041630
EINC3	TC011163	FBgn0052536
EINC6	TC011529,TC003991	FBgn0040321,FBgn0034511,FBgn0033301,FBgn0050148
EINCF	TC012834	FBgn0039528
EINCG	TC033132,TC033134	FBgn0052062
EINCI	TC003935	FBgn0004865
EINCJ	TC033302,TC011471,TC016415	FBgn0029172,FBgn0043043,FBgn0086687
EINCK	TC004151	FBgn0001202
EINCM	TC006094	FBgn0033155
EINCN	TC000928	FBgn0263396
EINCQ	TC035016	FBgn0028509
EINCR	TC000620	FBgn0015277
EIND2	TC031430	FBgn0004838
EIND6	TC011833	FBgn0053147
EIND7	TC003966	FBgn0017429
EIND9	TC001922	FBgn0002441
EINDD	TC015732	FBgn0034455
EINDE	TC001057	FBgn0051076
EINDF	TC014467	FBgn0025809
EINDI	TC014335	FBgn0023083
EINDJ	TC000187	FBgn0261262
EINDK	TC003092	FBgn0050115
EINDM	TC008900	FBgn0034835,FBgn0050412
EINDN	TC011762	FBgn0038923
EINDU	TC007631	FBgn0030669
EINDX	TC006851	FBgn0027561
EINE6	TC014051	FBgn0022709
EINEJ	TC011696	FBgn0000233
EINET	TC004898,TC000176,TC004438	FBgn0029114,FBgn0032095,FBgn0262473,FBgn0026760
EING4	TC009584	FBgn0035497,FBgn0030247
EING9	TC001722	FBgn0003651
EINI4	TC007699	FBgn0031453
EINI6	TC034620	FBgn0037015
EINI7	TC009348	FBgn0026879,FBgn0040973
EINI9	TC032310	FBgn0265083
EINIE	TC007152	FBgn0051111
EINJG	TC014392,TC013412,TC013411,TC013243,TC001886	FBgn0011294,FBgn0032453,FBgn0037431,FBgn0037432,FBgn0037433,FBgn0038972,FBgn0038973,FBgn0265272
EINJH	TC005672	FBgn0040283
EINJJ	TC012060	FBgn0086674
EINP9	TC001761,TC009934	FBgn0038735
EINPA	TC010428	FBgn0004924
EINPB	TC000160	FBgn0263398
EINQH	TC032592	FBgn0037852,FBgn0035078
EINQI	TC005511	FBgn0028707
EINQK	TC015317	FBgn0029861
EINQM	TC003806	FBgn0025878
EINQP	TC015425	FBgn0020272
EINQQ	TC003180	FBgn0004465
EINQR	TC001135	FBgn0023458
EINRA	TC007764	FBgn0029573
EINRB	TC009308	FBgn0036652
EINRF	TC034947	FBgn0033628
EINRM	TC003789	FBgn0036196
EINRN	TC009268	FBgn0023441
EINRQ	TC006104	FBgn0025825
EINRR	TC015207	FBgn0031081
EINRT	TC012656	FBgn0030752
EINRU	TC011092	FBgn0038072
EINRV	TC014947	FBgn0031832
EINRZ	TC033790	FBgn0001169
EINSC	TC009341	FBgn0038889
EINSQ	TC014816	FBgn0037646
EINTI	TC014298	FBgn0031896
EINTK	TC008904	FBgn0003567
EINTN	TC011806	FBgn0028968
EINTQ	TC015749	FBgn0038272
EINTR	TC014571	FBgn0028919
EINU5	TC032939	FBgn0038968
EINU9	TC008318	FBgn0031050
EINUA	TC013564	FBgn0019637,FBgn0038773
EINUC	TC005650	FBgn0288834
EINUE	TC007012	FBgn0038593
EINUF	TC002783	FBgn0013469
EINUH	TC009073	FBgn0032799
EINUI	TC006527	FBgn0027342
EINUM	TC001297	FBgn0029824
EINUR	TC010947,TC010898	FBgn0261258
EINVS	TC032798	FBgn0267366,FBgn0015268,FBgn0040345
EINX5	TC006811	FBgn0032016
EINX7	TC012775	FBgn0086916
EINX8	TC011185	FBgn0026441
EINX9	TC007434	FBgn0030809
EINXD	TC030745	FBgn0086698
EINXG	TC031960	FBgn0004598
EINXH	TC007672	FBgn0004368,FBgn0004370
EINXM	TC008920	FBgn0039523
EINXT	TC006983	FBgn0262509
EINY7	TC009541	FBgn0030228
EINYB	TC001525	FBgn0038583
EINYC	TC015461	FBgn0052069
EIP2J	TC030651	FBgn0039226
EIP2Q	TC031983	FBgn0030313,FBgn0261564,FBgn0034907
EIP2T	TC031040	FBgn0015904
EIP2V	TC003753	FBgn0003891
EIP2Y	TC006730	FBgn0036921
EIP3Y	TC009111	FBgn0000183
EIP4D	TC009439	FBgn0034408
EIP4H	TC001033	FBgn0043884
EIP4N	TC012392	FBgn0003189
EIP68	TC000041	FBgn0032305
EIP6C	TC012545	FBgn0004583
EIP6D	TC002915	FBgn0036356
EIP6H	TC008879	FBgn0286788
EIP6I	TC011650	FBgn0032700
EIP6J	TC011004	FBgn0026309
EIP6Y	TC008726	FBgn0004914
EIP73	TC002978	FBgn0260936
EIP76	TC003717	FBgn0010247
EIP77	TC033074	FBgn0028978
EIP79	TC004399	FBgn0033609
EIP7D	TC013545	FBgn0014075
EIP7F	TC006472	FBgn0260862
EIP7U	TC011521	FBgn0037712
EIP7W	TC008662	FBgn0250837
EIP81	TC013303	FBgn0024273
EIP85	TC033757	FBgn0259226
EIP89	TC010139	FBgn0035026
EIP8A	TC004615	FBgn0003520
EIP8C	TC015598	FBgn0029898
EIP8E	TC007436,TC000773	FBgn0003257
EIP8F	TC034173	FBgn0050089
EIP8G	TC010924	FBgn0037647
EIP8H	TC007507	FBgn0030434
EIP8N	TC007491	FBgn0003714
EIP8U	TC015659	FBgn0037279
EIP8X	TC005648	FBgn0037686,FBgn0039406
EIP8Z	TC009387	FBgn0031062
EIP9Q	TC004699,TC005329	FBgn0259721
EIP9W	TC034616	FBgn0031777
EIP9Z	TC000840	FBgn0005642
EIPAC	TC010367	FBgn0283535
EIPAD	TC000297	FBgn0031633
EIPAF	TC011556	FBgn0036967
EIPAG	TC004297	FBgn0031461
EIPAH	TC015355	FBgn0033031
EIPAI	TC013949	FBgn0032746
EIPAK	TC008686	FBgn0034566
EIPAN	TC034074,TC006192,TC005713,TC005712	FBgn0034490
EIPAP	TC004470	FBgn0000037
EIPAY	TC012455	FBgn0036882,FBgn0001108
EIPAZ	TC014929,TC001700	FBgn0036490,FBgn0040309
EIPBK	TC033581	FBgn0034709
EIPBP	TC004935	FBgn0037980
EIPCK	TC034564	FBgn0037546
EIPCS	TC012850	FBgn0011509
EIPD5	TC033312	FBgn0027375
EIPD9	TC008732	FBgn0039827
EIPEB	TC032792	FBgn0025391
EIPEC	TC012057	FBgn0062440,FBgn0263026
EIPEF	TC009596	FBgn0031830,FBgn0031831
EIPEG	TC014442	FBgn0031637
EIPEJ	TC012843	FBgn0261360,FBgn0266136
EIPEK	TC015481,TC012734	FBgn0035398,FBgn0250907
EIPFJ	TC008873	FBgn0034645
EIPGA	TC001359	FBgn0040963,FBgn0001281
EIPGK	TC015801	FBgn0030648
EIPHR	TC005758	FBgn0035901
EIPHS	TC008311	FBgn0285949
EIPHV	TC001179	FBgn0031860
EIPHY	TC009299,TC009298	FBgn0001123
EIPIK	TC014087	FBgn0002938
EIPJE	TC006412	FBgn0035867
EIPJH	TC010874	FBgn0051216
EIPKI	TC007393	FBgn0034988
EIPP4	TC003086	FBgn0034535
EIPPF	TC034205,TC034778,TC011867	FBgn0039636
EIPPG	TC001250	FBgn0021847
EIPPH	TC034452,TC012454	FBgn0015513
EIPPJ	TC002683	FBgn0015522
EIPPM	TC012628	FBgn0032485
EIPPQ	TC000107	FBgn0043792
EIPPR	TC013572	FBgn0051342
EIPPS	TC001449	FBgn0284221
EIPQ2	TC007679	FBgn0030716
EIPQ3	TC013830	FBgn0029131,FBgn0040491
EIPQ6	TC005867	FBgn0010339
EIPQ7	TC011288	FBgn0003429
EIPQB	TC002947	FBgn0019952,FBgn0086365
EIPQC	TC003564	FBgn0035645,FBgn0035647,FBgn0259164
EIPQD	TC030076	FBgn0028990
EIPRH	TC005994	FBgn0036454
EIPRI	TC007472	FBgn0260940
EIPRJ	TC015831	FBgn0031492
EIPRM	TC000514	FBgn0039116
EIPRQ	TC034446	FBgn0039667
EIPS3	TC033712	FBgn0039291
EIPS4	TC014285	FBgn0036437
EIPS5	TC012102	FBgn0260392,FBgn0260401
EIPS6	TC014495	FBgn0032732
EIPSD	TC010441	FBgn0028527
EIPSE	TC009803	FBgn0266580
EIPSK	TC004359	FBgn0064766
EIPSN	TC032626	FBgn0004607
EIPSP	TC000463,TC011281	FBgn0034176,FBgn0034175
EIPSX	TC012042	FBgn0035227
EIPT1	TC001867	FBgn0039738
EIPT2	TC014297	FBgn0031897
EIPT4	TC015755	FBgn0011642
EIPT5	TC015954	FBgn0032688
EIPTK	TC034891	FBgn0031309
EIPTP	TC004838,TC001018,TC012852,TC004836	FBgn0000039,FBgn0004118,FBgn0000036
EIPTQ	TC009965	FBgn0030200,FBgn0285937
EIPTR	TC011087	FBgn0000542
EIPTS	TC033856	FBgn0286782
EIPTT	TC000185	FBgn0038826
EIPTU	TC008638,TC008637	FBgn0003093
EIPUB	TC008542	FBgn0031822
EIPUC	TC004939	FBgn0001977
EIPUD	TC005135	FBgn0087005
EIPUF	TC034139	FBgn0011361
EIPUI	TC006952	FBgn0069969
EIPUJ	TC005517	FBgn0032701
EIPUK	TC004360	FBgn0039732
EIPUM	TC008316	FBgn0052831
EIPUS	TC003262	FBgn0035677
EIPUT	TC034773	FBgn0017577
EIPUW	TC012786	FBgn0033224
EIPUX	TC015819	FBgn0029094
EIPV4	TC014695	FBgn0287225
EIPV5	TC003871	FBgn0263237
EIPV9	TC014965	FBgn0033885,FBgn0039802
EIPVA	TC013453,TC032858	FBgn0243513,FBgn0000339
EIPVB	TC010523	FBgn0031668
EIPVG	TC012817	FBgn0032703
EIPVV	TC033193,TC013570,TC013220	FBgn0003391,FBgn0015609,FBgn0262018
EIPVY	TC033028	FBgn0083963
EIPW0	TC033026	FBgn0083975
EIPWH	TC030754	FBgn0001083
EIPXE	TC005343	FBgn0031435,FBgn0031434
EIPXJ	TC016229	FBgn0083167
EIPXK	TC031035	FBgn0266124
EIPXQ	TC032998	FBgn0053170
EIPXU	TC031326	FBgn0052344
EIPY4	TC014506	FBgn0027873
EIPY5	TC014037	FBgn0027363
EIPY8	TC009361	FBgn0032797
EIPZ1	TC007865,TC002698	FBgn0020653,FBgn0037170
EIPZ2	TC031454	FBgn0038621
EIPZI	TC008010	FBgn0032462
EIPZV	TC001639	FBgn0040206
EIQ13	TC016259	FBgn0050295
EIQ1B	TC012829	FBgn0036619
EIQ1H	TC013887	FBgn0036629
EIQ2D	TC034283	FBgn0034136
EIQ2T	TC031638	FBgn0036133
EIQ3A	TC001556	FBgn0011828
EIQ3C	TC033425	FBgn0263257
EIQ3H	TC012167	FBgn0039258
EIQ3I	TC013691	FBgn0035713
EIQ3P	TC008532	FBgn0032076
EIQ3Y	TC004747	FBgn0038380,FBgn0051183
EIQ4R	TC012083	FBgn0035603
EIQ4S	TC005002,TC010339	FBgn0015621
EIQ4T	TC031929	FBgn0051163,FBgn0031762
EIQ4U	TC009112	FBgn0040338,FBgn0013347
EIQ4V	TC030740	FBgn0039588
EIQ4X	TC010799	FBgn0085412
EIQ50	TC008102	FBgn0030060
EIQ53	TC010472	FBgn0261933
EIQ5J	TC031489	FBgn0085383
EIQ5S	TC013079	FBgn0036335
EIQ61	TC012704	FBgn0010424,FBgn0010423
EIQ64	TC034222,TC034161,TC034160,TC012231,TC012229,TC012228,TC001414,TC001413,TC001412	FBgn0037387
EIQ65	TC012546	FBgn0032219
EIQ75	TC030665	FBgn0050392
EIQ7W	TC009782	FBgn0010762
EIQ7Y	TC032080	FBgn0042135
EIQ8S	TC034597,TC000112	FBgn0025335,FBgn0031631
EIQ96	TC031909,TC011326	FBgn0003654,FBgn0067861,FBgn0053497,FBgn0052823,FBgn0283434,FBgn0283433,FBgn0283432
EIQ99	TC006542	FBgn0003300
EIQ9A	TC013567	FBgn0033188
EIQ9B	TC012866	FBgn0010278
EIQ9C	TC011784	FBgn0037708
EIQ9D	TC006591	FBgn0035333
EIQ9E	TC012449	FBgn0029629,FBgn0038796
EIQ9V	TC002944	FBgn0034361
EIQ9W	TC005773	FBgn0036359
EIQ9Z	TC030694	FBgn0047038
EIQA6	TC013831	FBgn0264810
EIQAQ	TC014710,TC000119	FBgn0283476,FBgn0035581,FBgn0013810,FBgn0001313
EIQB8	TC015937	FBgn0261385
EIQBB	TC013552	FBgn0086253
EIQBX	TC000132	FBgn0015772
EIQBZ	TC031599,TC008665	FBgn0010590
EIQC0	TC004141	FBgn0036180
EIQC3	TC032953	FBgn0039178
EIQCE	TC012572	FBgn0037020
EIQCQ	TC005232	FBgn0029155,FBgn0029153,FBgn0029154
EIQD1	TC003798	FBgn0013467
EIQD5	TC001175	FBgn0034132,FBgn0033860,FBgn0033868,FBgn0259795,FBgn0045770
EIQD9	TC003580	FBgn0003380
EIQDD	TC033450	FBgn0000179
EIQDF	TC007136	FBgn0259209,FBgn0014863
EIQGJ	TC032757	FBgn0039681
EIQGM	TC009270	FBgn0085419
EIQGQ	TC004420	FBgn0030321
EIQGR	TC007344	FBgn0026015
EIQGZ	TC007385	FBgn0032117
EIQH1	TC010613	FBgn0038454
EIQH2	TC008871	FBgn0034659,FBgn0022986,FBgn0034739,FBgn0022987,FBgn0022985,FBgn0022984,FBgn0034740
EIQH3	TC014350	FBgn0086680
EIQH5	TC031895	FBgn0053098,FBgn0038028
EIQH6	TC014135	FBgn0016930
EIQH7	TC031530	FBgn0035480
EIQH9	TC007780	FBgn0030410
EIQHD	TC003652	FBgn0035393
EIQHV	TC014749	FBgn0035575
EIQHX	TC015199	FBgn0037478
EIQHY	TC006844	FBgn0283478
EIQI0	TC016364	FBgn0034215
EIQI2	TC012561	FBgn0039274
EIQIH	TC007155	FBgn0031261
EIQIW	TC011996	FBgn0015279
EIQJ2	TC013032	FBgn0032246
EIQJ5	TC033263	FBgn0028897
EIQJD	TC034529	FBgn0039189
EIQJG	TC008354	FBgn0263598,FBgn0032464,FBgn0265262
EIQJH	TC003718	FBgn0035724
EIQKE	TC003601,TC015874	FBgn0051618,FBgn0053808,FBgn0053814,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053835,FBgn0053838,FBgn0053841,FBgn0053844,FBgn0053847,FBgn0053850,FBgn0053853,FBgn0053856,FBgn0053859,FBgn0053862,FBgn0053865,FBgn0259727,FBgn0259725
EIQKF	TC013946	FBgn0037949
EIQMC	TC012027	FBgn0038610
EIQMD	TC000487	FBgn0001220
EIQME	TC008293	FBgn0020762
EIQN7	TC015577	FBgn0002521,FBgn0035997
EIQP8	TC034705	FBgn0023549
EIQP9	TC001278	FBgn0035173
EIQPA	TC032156	FBgn0038197
EIQPB	TC014343	FBgn0036485
EIQPT	TC013083	FBgn0086683
EIQPY	TC015460	FBgn0003065
EIQPZ	TC010038	FBgn0037364
EIQQ6	TC031362,TC015746	FBgn0285925
EIQQJ	TC015928	FBgn0038833
EIQQK	TC032940	FBgn0051643
EIQQU	TC000042	FBgn0027090
EIQQV	TC015651	FBgn0266064
EIQQY	TC033536	FBgn0003896
EIQR0	TC014635	FBgn0035866
EIQR1	TC007406	FBgn0015756
EIQR2	TC007967	FBgn0037001
EIQR7	TC013713	FBgn0020633
EIQR8	TC004647	FBgn0051019
EIQRA	TC010403	FBgn0031628
EIQRE	TC001634	FBgn0031589
EIQRF	TC007535	FBgn0039680
EIQSB	TC004775	FBgn0005390
EIQSE	TC034790	FBgn0014906
EIQSJ	TC001438	FBgn0035371,FBgn0015011
EIQTZ	TC002288	FBgn0027616
EIQU3	TC004758	FBgn0265974
EIQUE	TC000618	FBgn0039227
EIQUV	TC002142	FBgn0034655
EIQV4	TC007190	FBgn0031392
EIQV7	TC009620	FBgn0034242
